country,percent_under_5m,total_pop,total_under_5m,total_10cm,total_20cm,total_30cm,total_40cm,total_50cm,total_60cm,total_70cm,total_80cm,total_90cm,total_100cm,total_110cm,total_120cm,total_130cm,total_140cm,total_150cm,total_160cm,total_170cm,total_180cm,total_190cm,total_200cm
Brunei Darussalam,1.609028467,388646.0,6253.42477585682,125.0684955171364,250.1369910342728,375.2054865514092,500.2739820685456,625.342477585682,750.4109731028184,875.4794686199547,1000.5479641370912,1125.6164596542276,1250.684955171364,1375.7534506885006,1500.8219462056368,1625.8904417227732,1750.9589372399093,1876.027432757046,2001.0959282741824,2126.1644237913188,2251.232919308455,2376.3014148255916,2501.369910342728
Canada,2.221496304,34004889.0,755417.3523143026,15108.347046286051,30216.694092572103,45325.041138858156,60433.388185144206,75541.73523143026,90650.08227771631,105758.42932400235,120866.77637028841,135975.12341657447,151083.4704628605,166191.81750914658,181300.16455543262,196408.51160171867,211516.8586480047,226625.20569429078,241733.55274057682,256841.89978686286,271950.24683314894,287058.593879435,302166.940925721
Central Europe and the Baltics,2.16331678590574,104421447.0,2258966.691036666,45179.333820733314,90358.66764146663,135538.00146219996,180717.33528293326,225896.6691036666,271076.0029243999,316255.33674513316,361434.6705658665,406614.0043865998,451793.3382073332,496972.67202806653,542152.0058487998,587331.3396695331,632510.6734902663,677690.0073109997,722869.341131733,768048.6749524663,813228.0087731996,858407.342593933,903586.6764146663
Switzerland,0.0,7824909.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chile,0.367832974,17062536.0,62761.633608620636,1255.2326721724128,2510.4653443448256,3765.698016517238,5020.930688689651,6276.163360862064,7531.396033034476,8786.628705206887,10041.861377379302,11297.094049551713,12552.326721724128,13807.559393896541,15062.792066068952,16318.024738241365,17573.257410413775,18828.49008258619,20083.722754758604,21338.955426931014,22594.188099103427,23849.420771275843,25104.653443448256
China,6.553332482,1337705000.0,87664256.2783381,1753285.1255667622,3506570.2511335243,5259855.376700286,7013140.502267049,8766425.627833812,10519710.753400572,12272995.878967334,14026281.004534097,15779566.130100857,17532851.255667623,19286136.381234385,21039421.506801143,22792706.63236791,24545991.757934667,26299276.88350143,28052562.009068195,29805847.134634953,31559132.260201715,33312417.38576848,35065702.511335246
Cote d'Ivoire,3.764942457,20532950.0,773053.7522245814,15461.075044491628,30922.150088983257,46383.22513347489,61844.300177966514,77305.37522245814,92766.45026694977,108227.5253114414,123688.60035593303,139149.67540042466,154610.75044491628,170071.82548940793,185532.90053389955,200993.97557839117,216455.0506228828,231916.12566737444,247377.20071186605,262838.27575635765,278299.3508008493,293760.42584534094,309221.50088983256
Cameroon,0.45664627700000004,20341241.0,92887.51972209758,1857.7503944419516,3715.500788883903,5573.251183325855,7431.001577767806,9288.751972209759,11146.50236665171,13004.25276109366,14862.003155535613,16719.753549977566,18577.503944419517,20435.254338861472,22293.00473330342,24150.75512774537,26008.50552218732,27866.255916629274,29724.006311071225,31581.756705513177,33439.50709995513,35297.25749439708,37155.007888839034
"Congo, Dem. Rep.",0.041278628,64563854.0,26651.07311512312,533.0214623024624,1066.0429246049248,1599.0643869073872,2132.0858492098496,2665.107311512312,3198.1287738147744,3731.1502361172365,4264.171698419699,4797.193160722161,5330.214623024624,5863.236085327087,6396.257547629549,6929.279009932011,7462.300472234473,7995.321934536935,8528.343396839398,9061.36485914186,9594.386321444323,10127.407783746785,10660.429246049249
"Congo, Rep.",0.480087173,4273731.0,20517.63433952463,410.3526867904926,820.7053735809852,1231.0580603714777,1641.4107471619704,2051.763433952463,2462.1161207429554,2872.468807533448,3282.821494323941,3693.174181114433,4103.526867904926,4513.879554695419,4924.232241485911,5334.584928276404,5744.937615066896,6155.290301857389,6565.642988647882,6975.995675438373,7386.348362228866,7796.70104901936,8207.053735809852
